Symbol,Name
CE,Celanese Corporation Celanese Corporation Common Stock
CEO,CNOOC Limited Common Stock
CFG,Citizens Financial Group Inc. Common Stock
CHD,Church & Dwight Company Inc. Common Stock
CHGG,Chegg Inc. Common Stock
CHT,Chunghwa Telecom Co. Ltd.
CHWY,Chewy Inc. Class A Common Stock
CI,Cigna Corporation Common Stock
CIG,Comp En De Mn Cemig ADS American Depositary Shares
CL,Colgate-Palmolive Company Common Stock
CLVT,Clarivate Plc Ordinary Shares
CLX,Clorox Company (The) Common Stock
CM,Canadian Imperial Bank of Commerce Common Stock
CMG,Chipotle Mexican Grill Inc. Common Stock
CMI,Cummins Inc. Common Stock
CMS,CMS Energy Corporation Common Stock
CNA,CNA Financial Corporation Common Stock
CNC,Centene Corporation Common Stock
CNHI,CNH Industrial N.V. Common Shares
CNI,Canadian National Railway Company Common Stock
CNP,CenterPoint Energy Inc (Holding Co) Common Stock
CNQ,Canadian Natural Resources Limited Common Stock
COF,Capital One Financial Corporation Common Stock
COO,The Cooper Companies Inc. Common Stock
COP,ConocoPhillips Common Stock
CP,Canadian Pacific Railway Limited Common Stock
CPB,Campbell Soup Company Common Stock
CRH,CRH PLC American Depositary Shares
CRL,Charles River Laboratories International Inc. Common Stock
CRM,Salesforce.com Inc Common Stock
CS,Credit Suisse Group American Depositary Shares
CTLT,Catalent Inc. Common Stock
CTVA,Corteva Inc. Common Stock 
CUK,Carnival Plc ADS ADS
CVE,Cenovus Energy Inc Common Stock
CVNA,Carvana Co. Class A Common Stock
CVS,CVS Health Corporation Common Stock
CVX,Chevron Corporation Common Stock
D,Dominion Energy Inc. Common Stock
DAL,Delta Air Lines Inc. Common Stock
DAR,Darling Ingredients Inc. Common Stock
DASH,DoorDash Inc. Class A Common Stock
DB,Deutsche Bank AG Common Stock
DD,DuPont de Nemours Inc. Common Stock
DE,Deere & Company Common Stock
DELL,Dell Technologies Inc. Class C Common Stock 
DEO,Diageo plc Common Stock
DFS,Discover Financial Services Common Stock
DG,Dollar General Corporation Common Stock
DGX,Quest Diagnostics Incorporated Common Stock
DHI,D.R. Horton Inc. Common Stock
DHR,Danaher Corporation Common Stock
DIS,Walt Disney Company (The) Common Stock
DLR,Digital Realty Trust Inc. Common Stock
DNB,Dun & Bradstreet Holdings Inc. Common Stock
DOV,Dover Corporation Common Stock
DOW,Dow Inc. Common Stock 
DPZ,Domino's Pizza Inc Common Stock
DRE,Duke Realty Corporation Common Stock
DRI,Darden Restaurants Inc. Common Stock
DT,Dynatrace Inc. Common Stock
DTE,DTE Energy Company Common Stock
DUK,Duke Energy Corporation (Holding Company) Common Stock
DVA,DaVita Inc. Common Stock
DVN,Devon Energy Corporation Common Stock
E,ENI S.p.A. Common Stock
EC,Ecopetrol S.A. American Depositary Shares
ECL,Ecolab Inc. Common Stock
ED,Consolidated Edison Inc. Common Stock
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 1 Ordinary Share (Cayman Islands)
EFX,Equifax Inc. Common Stock
EIX,Edison International Common Stock
EL,Estee Lauder Companies Inc. (The) Common Stock
ELAN,Elanco Animal Health Incorporated Common Stock
ELS,Equity Lifestyle Properties Inc. Common Stock
EMN,Eastman Chemical Company Common Stock
EMR,Emerson Electric Company Common Stock
ENB,Enbridge Inc Common Stock
ENIA,Enel Americas S.A. American Depositary Shares
EOG,EOG Resources Inc. Common Stock
EPAM,EPAM Systems Inc. Common Stock
EPD,Enterprise Products Partners L.P. Common Stock
EQH,Equitable Holdings Inc. Common Stock
EQNR,Equinor ASA
EQR,Equity Residential Common Shares of Beneficial Interest
ES,Eversource Energy (D/B/A) Common Stock
ESS,Essex Property Trust Inc. Common Stock
ESTC,Elastic N.V. Ordinary Shares
ET,Energy Transfer LP Common Units 
ETN,Eaton Corporation PLC Ordinary Shares
ETR,Entergy Corporation Common Stock
EVRG,Evergy Inc. Common Stock
EW,Edwards Lifesciences Corporation Common Stock
EXR,Extra Space Storage Inc Common Stock
F,Ford Motor Company Common Stock
FBHS,Fortune Brands Home & Security Inc. Common Stock
FCX,Freeport-McMoRan Inc. Common Stock
FDX,FedEx Corporation Common Stock
FE,FirstEnergy Corp. Common Stock
FICO,Fair Isaac Corproation Common Stock
FIS,Fidelity National Information Services Inc. Common Stock
FLT,FleetCor Technologies Inc. Common Stock
FMC,FMC Corporation Common Stock
FMS,Fresenius Medical Care AG Common Stock
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock
FND,Floor & Decor Holdings Inc. Common Stock
FNF,FNF Group of Fidelity National Financial Inc. Common Stock
FNV,Franco-Nevada Corporation
FRC,FIRST REPUBLIC BANK Common Stock
FSLY,Fastly Inc. Class A Common Stock
FTCH,Farfetch Limited Class A Ordinary Shares
FTS,Fortis Inc. Common Shares
FTV,Fortive Corporation Common Stock 
GD,General Dynamics Corporation Common Stock
GDDY,GoDaddy Inc. Class A Common Stock
GE,General Electric Company Common Stock
GFL,GFL Environmental Inc. Subordinate voting shares no par value
GGG,Graco Inc. Common Stock
GIB,CGI Inc. Common Stock
GIS,General Mills Inc. Common Stock
GLW,Corning Incorporated Common Stock
GM,General Motors Company Common Stock
GNRC,Generac Holdlings Inc. Common Stock
GOLD,Barrick Gold Corporation Common Stock (BC)
GPC,Genuine Parts Company Common Stock
GPN,Global Payments Inc. Common Stock
GS,Goldman Sachs Group Inc. (The) Common Stock
GSK,GlaxoSmithKline PLC Common Stock
GSX,GSX Techedu Inc. American Depositary Shares three of which representing two Class A Ordinary Shares
GWRE,Guidewire Software Inc. Common Stock
GWW,W.W. Grainger Inc. Common Stock
HAL,Halliburton Company Common Stock
HCA,HCA Healthcare Inc. Common Stock
HD,Home Depot Inc. (The) Common Stock
HDB,HDFC Bank Limited Common Stock
HEI,Heico Corporation Common Stock
HES,Hess Corporation Common Stock
HIG,Hartford Financial Services Group Inc. (The) Common Stock
HLT,Hilton Worldwide Holdings Inc. Common Stock 
HMC,Honda Motor Company Ltd. Common Stock
HON,Honeywell International Inc. Common Stock
HPE,Hewlett Packard Enterprise Company Common Stock
HPQ,HP Inc. Common Stock
HRL,Hormel Foods Corporation Common Stock
HSBC,HSBC Holdings plc. Common Stock
HSY,The Hershey Company Common Stock
HUBS,HubSpot Inc. Common Stock
HUM,Humana Inc. Common Stock
HWM,Howmet Aerospace Inc. Common Stock
IBM,International Business Machines Corporation Common Stock
IBN,ICICI Bank Limited Common Stock
ICE,Intercontinental Exchange Inc. Common Stock
IEX,IDEX Corporation Common Stock
IFF,Internationa Flavors & Fragrances Inc. Common Stock
IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share)
INFO,IHS Markit Ltd. Common Shares
INFY,Infosys Limited American Depositary Shares
ING,ING Group N.V. Common Stock
INVH,Invitation Homes Inc. Common Stock
IP,International Paper Company Common Stock
IPG,Interpublic Group of Companies Inc. (The) Common Stock
IQV,IQVIA Holdings Inc. Common Stock
IR,Ingersoll Rand Inc. Common Stock
IT,Gartner Inc. Common Stock
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares)
ITW,Illinois Tool Works Inc. Common Stock
IVZ,Invesco Ltd Common Stock
IX,Orix Corp Ads Common Stock
J,Jacobs Engineering Group Inc. Common Stock
JCI,Johnson Controls International plc Ordinary Share
JHX,James Hardie Industries plc American Depositary Shares (Ireland)
JNJ,Johnson & Johnson Common Stock
JPM,JP Morgan Chase & Co. Common Stock
K,Kellogg Company Common Stock
KB,KB Financial Group Inc
KEP,Korea Electric Power Corporation Common Stock
KEY,KeyCorp Common Stock
KEYS,Keysight Technologies Inc. Common Stock
KKR,KKR & Co. Inc. Common Stock
KL,Kirkland Lake Gold Ltd. Common Shares
KMB,Kimberly-Clark Corporation Common Stock
KMI,Kinder Morgan Inc. Common Stock
KMX,CarMax Inc
KO,Coca-Cola Company (The) Common Stock
KR,Kroger Company (The) Common Stock
KSU,Kansas City Southern Common Stock
L,Loews Corporation Common Stock
LB,L Brands Inc.
LDOS,Leidos Holdings Inc. Common Stock
LEN,Lennar Corporation Class A Common Stock
LFC,China Life Insurance Company Limited American Depositary Shares
LH,Laboratory Corporation of America Holdings Common Stock
LHX,L3Harris Technologies Inc. Common Stock
LII,Lennox International Inc. Common Stock
LIN,Linde plc Ordinary Share
LLY,Eli Lilly and Company Common Stock
LMT,Lockheed Martin Corporation Common Stock
LOW,Lowe's Companies Inc. Common Stock
LU,Lufax Holding Ltd American Depositary Shares two of which representing one Ordinary Share
LUMN,Lumen Technologies Inc. Common Stock
LUV,Southwest Airlines Company Common Stock
LVS,Las Vegas Sands Corp. Common Stock
LW,Lamb Weston Holdings Inc. Common Stock 
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands)
LYG,Lloyds Banking Group Plc American Depositary Shares
LYV,Live Nation Entertainment Inc. Common Stock
MA,Mastercard Incorporated Common Stock
MAA,Mid-America Apartment Communities Inc. Common Stock
MAS,Masco Corporation Common Stock
MCD,McDonald's Corporation Common Stock
MCK,McKesson Corporation Common Stock
MCO,Moody's Corporation Common Stock
MDT,Medtronic plc. Ordinary Shares
MET,MetLife Inc. Common Stock
MFC,Manulife Financial Corporation Common Stock
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan)
MGA,Magna International Inc. Common Stock
MGM,MGM Resorts International Common Stock
MGP,MGM Growth Properties LLC Class A common shares representing limited liability company interests
MHK,Mohawk Industries Inc. Common Stock
MKC,McCormick & Company Incorporated Common Stock
MKL,Markel Corporation Common Stock
MLM,Martin Marietta Materials Inc. Common Stock
MMC,Marsh & McLennan Companies Inc. Common Stock
MMM,3M Company Common Stock
MO,Altria Group Inc.
MOH,Molina Healthcare Inc Common Stock
MOS,Mosaic Company (The) Common Stock
MPC,Marathon Petroleum Corporation Common Stock
MPLX,MPLX LP Common Units Representing Limited Partner Interests
MPW,Medical Properties Trust Inc. common stock
MRK,Merck & Company Inc. Common Stock (new)
MS,Morgan Stanley Common Stock
MSCI,MSCI Inc Common Stock
MSI,Motorola Solutions Inc. Common Stock
MT,Arcelor Mittal NY Registry Shares NEW
MTB,M&T Bank Corporation Common Stock
MTD,Mettler-Toledo International Inc. Common Stock
MTN,Vail Resorts Inc. Common Stock
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock
NEE,NextEra Energy Inc. Common Stock
NEM,Newmont Corporation
NET,Cloudflare Inc. Class A Common Stock
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares
NIO,NIO Inc. American depositary shares each  representing one Class A ordinary share
NKE,Nike Inc. Common Stock
NLY,Annaly Capital Management Inc Common Stock
NMR,Nomura Holdings Inc ADR American Depositary Shares
NOC,Northrop Grumman Corporation Common Stock
NOK,Nokia Corporation Sponsored American Depositary Shares
NOW,ServiceNow Inc. Common Stock
NRG,NRG Energy Inc. Common Stock
NSC,Norfolk Southern Corporation Common Stock
NTCO,Natura &Co Holding S.A. American Depositary Shares 
NTR,Nutrien Ltd. Common Shares
NUE,Nucor Corporation Common Stock
NVO,Novo Nordisk A/S Common Stock
NVR,NVR Inc. Common Stock
NVS,Novartis AG Common Stock
NWG,NatWest Group plc American Depositary Shares
O,Realty Income Corporation Common Stock
OKE,ONEOK Inc. Common Stock
OMC,Omnicom Group Inc. Common Stock
ORAN,Orange
ORCL,Oracle Corporation Common Stock
OSH,Oak Street Health Inc. Common Stock
OTIS,Otis Worldwide Corporation Common Stock 
OXY,Occidental Petroleum Corporation Common Stock
PAGS,PagSeguro Digital Ltd. Class A Common Shares
PANW,Palo Alto Networks Inc. Common Stock
PAYC,Paycom Software Inc. Common Stock
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada)
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock
PCG,Pacific Gas & Electric Co. Common Stock
PEAK,Healthpeak Properties Inc. Common Stock
PEG,Public Service Enterprise Group Incorporated Common Stock
PFE,Pfizer Inc. Common Stock
PG,Procter & Gamble Company (The) Common Stock
PGR,Progressive Corporation (The) Common Stock
PH,Parker-Hannifin Corporation Common Stock
PHG,Koninklijke Philips N.V. NY Registry Shares
PHM,PulteGroup Inc. Common Stock
PINS,Pinterest Inc. Class A Common Stock
PKG,Packaging Corporation of America Common Stock
PKI,PerkinElmer Inc. Common Stock
PKX,POSCO Common Stock
PLAN,Anaplan Inc. Common Stock
PLD,Prologis Inc. Common Stock
PLTR,Palantir Technologies Inc. Class A Common Stock
PM,Philip Morris International Inc Common Stock
PNC,PNC Financial Services Group Inc. (The) Common Stock
PPG,PPG Industries Inc. Common Stock
PPL,PPL Corporation Common Stock
PRU,Prudential Financial Inc. Common Stock
PSA,Public Storage Common Stock
PSX,Phillips 66 Common Stock
PTR,PetroChina Company Limited Common Stock
PUK,Prudential Public Limited Company Common Stock
PWR,Quanta Services Inc. Common Stock
PXD,Pioneer Natural Resources Company Common Stock
QGEN,Qiagen N.V. Common Shares 
QS,QuantumScape Corporation Class A Common Stock
QSR,Restaurant Brands International Inc. Common Shares
RACE,Ferrari N.V. Common Shares
RCI,Rogers Communication Inc. Common Stock
RCL,D/B/A Royal Caribbean Cruises Ltd. Common Stock
RDY,Dr. Reddy's Laboratories Ltd Common Stock
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share)
RF,Regions Financial Corporation Common Stock
RIO,Rio Tinto Plc Common Stock
RJF,Raymond James Financial Inc. Common Stock
RKT,Rocket Companies Inc. Class A Common Stock
RLX,RLX Technology Inc. American Depositary Shares each representing the right to receive one (1) Class A ordinary share
RMD,ResMed Inc. Common Stock
RNG,RingCentral Inc. Class A Common Stock
ROK,Rockwell Automation Inc. Common Stock
ROL,Rollins Inc. Common Stock
ROP,Roper Technologies Inc. Common Stock
RPM,RPM International Inc. Common Stock
RSG,Republic Services Inc. Common Stock
RTX,Raytheon Technologies Corporation Common Stock
RY,Royal Bank Of Canada Common Stock
SAM,Boston Beer Company Inc. (The) Common Stock
SAN,Banco Santander S.A. Sponsored ADR (Spain)
SAP,SAP  SE ADS
SBSW,D/B/A Sibanye-Stillwater Limited ADS
SCCO,Southern Copper Corporation Common Stock
SCHW,Charles Schwab Corporation (The) Common Stock
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share
SHG,Shinhan Financial Group Co Ltd American Depositary Shares
SHOP,Shopify Inc. Class A Subordinate Voting Shares
SHW,Sherwin-Williams Company (The) Common Stock
SJM,J.M. Smucker Company (The) New Common Stock
SKLZ,Skillz Inc. Class A Common Stock
SKM,SK Telecom Co. Ltd. Common Stock
SLB,Schlumberger N.V. Common Stock
SLF,Sun Life Financial Inc. Common Stock
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan)
SMG,Scotts Miracle-Gro Company (The) Common Stock
SNAP,Snap Inc. Class A Common Stock
SNE,Sony Corporation Common Stock
SNN,Smith & Nephew SNATS Inc. Common Stock
SNOW,Snowflake Inc. Class A Common Stock
SNP,China Petroleum & Chemical Corporation Common Stock
SO,Southern Company (The) Common Stock
SPCE,Virgin Galactic Holdings Inc. Common Stock
SPG,Simon Property Group Inc. Common Stock
SPGI,S&P Global Inc. Common Stock
SPOT,Spotify Technology S.A. Ordinary Shares
SQ,Square Inc. Class A Common Stock
SQM,Sociedad Quimica y Minera S.A. Common Stock
SRE,Sempra Energy Common Stock
STE,STERIS plc (Ireland) Ordinary Shares
STLA,Stellantis N.V. Common Shares
STM,STMicroelectronics N.V. Common Stock
STT,State Street Corporation Common Stock
STZ,Constellation Brands Inc. Common Stock
SU,Suncor Energy  Inc. Common Stock
SUI,Sun Communities Inc. Common Stock
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share)
SWK,Stanley Black & Decker Inc. Common Stock
SYF,Synchrony Financial Common Stock
SYK,Stryker Corporation Common Stock
SYY,Sysco Corporation Common Stock
T,AT&T Inc.
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock)
TAL,TAL Education Group American Depositary Shares
TAP,Molson Coors Beverage Company Class B Common Stock
TD,Toronto Dominion Bank (The) Common Stock
TDG,Transdigm Group Incorporated Transdigm Group Inc. Common Stock
TDOC,Teladoc Health Inc. Common Stock
TDY,Teledyne Technologies Incorporated Common Stock
TEF,Telefonica SA Common Stock
TEL,TE Connectivity Ltd. New Switzerland Registered Shares
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares
TFC,Truist Financial Corporation Common Stock
TFX,Teleflex Incorporated Common Stock
TGT,Target Corporation Common Stock
TJX,TJX Companies Inc. (The) Common Stock
TLK,PT Telekomunikasi Indonesia Tbk
TM,Toyota Motor Corporation Common Stock
TME,Tencent Music Entertainment Group American Depositary Shares each representing two Class A Ordinary Shares
TMO,Thermo Fisher Scientific Inc Common Stock
TOT,Total SE
TPR,Tapestry Inc. Common Stock
TREX,Trex Company Inc. Common Stock
TRI,Thomson Reuters Corp Ordinary Shares
TRP,TC Energy Corporation Common Stock
TRU,TransUnion Common Stock
TRV,The Travelers Companies Inc. Common Stock
TSM,Taiwan Semiconductor Manufacturing Company Ltd.
TSN,Tyson Foods Inc. Common Stock
TT,Trane Technologies plc
TTC,Toro Company (The) Common Stock
TTM,Tata Motors Ltd Tata Motors Limited
TU,Telus Corporation Ordinary Shares
TWLO,Twilio Inc. Class A Common Stock
TWTR,Twitter Inc. Common Stock
TXT,Textron Inc. Common Stock
TYL,Tyler Technologies Inc. Common Stock
U,Unity Software Inc. Common Stock
UBER,Uber Technologies Inc. Common Stock
UBS,UBS Group AG Registered Ordinary Shares
UDR,UDR Inc. Common Stock
UHS,Universal Health Services Inc. Common Stock
UI,Ubiquiti Inc. Common Stock
UL,Unilever PLC Common Stock
UMC,United Microelectronics Corporation (NEW) Common Stock
UNH,UnitedHealth Group Incorporated Common Stock (DE)
UNP,Union Pacific Corporation Common Stock
UPS,United Parcel Service Inc. Common Stock
URI,United Rentals Inc. Common Stock
USB,U.S. Bancorp Common Stock
V,Visa Inc.
VALE,VALE S.A.  American Depositary Shares Each Representing one common share
VAR,Varian Medical Systems Inc. Common Stock
VEEV,Veeva Systems Inc. Class A Common Stock
VFC,V.F. Corporation Common Stock
VICI,VICI Properties Inc. Common Stock
VIPS,Vipshop Holdings Limited American Depositary Shares each representing two ordinary shares
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share)
VLO,Valero Energy Corporation Common Stock
VMC,Vulcan Materials Company (Holding Company) Common Stock
VMW,Vmware Inc. Common stock Class A
VST,Vistra Corp. Common Stock
VTR,Ventas Inc. Common Stock
W,Wayfair Inc. Class A Common Stock
WAB,Westinghouse Air Brake Technologies Corporation Common Stock
WAT,Waters Corporation Common Stock
WBK,Westpac Banking Corporation Common Stock
WCN,Waste Connections Inc. Common Shares
WEC,WEC Energy Group Inc. Common Stock
WELL,Welltower Inc. Common Stock
WFC,Wells Fargo & Company Common Stock
WHR,Whirlpool Corporation Common Stock
WIT,Wipro Limited Common Stock
WLK,Westlake Chemical Corporation Common Stock
WM,Waste Management Inc. Common Stock
WMB,Williams Companies Inc. (The) Common Stock
WMT,Walmart Inc. Common Stock
WORK,Slack Technologies Inc. Class A Common Stock
WPC,W. P. Carey Inc. REIT
WPM,Wheaton Precious Metals Corp Common Shares (Canada)
WPP,WPP plc American Depositary Shares
WRB,W.R. Berkley Corporation Common Stock
WRK,Westrock Company Common Stock
WST,West Pharmaceutical Services Inc. Common Stock
WTRG,Essential Utilities Inc. Common Stock
WY,Weyerhaeuser Company Common Stock
XOM,Exxon Mobil Corporation Common Stock
XPEV,XPeng Inc. American depositary shares each representing two Class A ordinary shares
XPO,XPO Logistics Inc.
XYL,Xylem Inc. Common Stock New
YSG,Yatsen Holding Limited American Depositary Shares each representing four Class A ordinary shares
YUM,Yum! Brands Inc.
YUMC,Yum China Holdings Inc. Common Stock
ZBH,Zimmer Biomet Holdings Inc. Common Stock
ZEN,Zendesk Inc. Common Stock
ZTO,ZTO Express (Cayman) Inc. American Depositary Shares each representing one Class A ordinary share.
ZTS,Zoetis Inc. Class A Common Stock
